SO2,NO,NOx,NO2,CO,O3,THC,CH4,NMHC,PM10,PM2.5,WS,WD,AT,RH 
1.1,4.9,26.6,21.7,0.64,12.8,2.2,2,0.2,25,9,0.5,9,19.4,68.5
0.8,2.3,20.6,18.3,0.51,14.6,2.1,2,0.1,23,5,0.4,28,18.8,71.1
0.9,3.8,27.1,23.4,0.61,10.5,2.2,2,0.1,21,8,0.2,354,18.7,71.6
1.1,4.3,29.4,25.1,0.61,6.7,2.2,2,0.2,23,8,0.3,10,18.6,72.8
1.1,1.9,23.5,21.6,0.55,7.7,2.2,2.1,0.1,24,11,0.3,19,18.7,73.3
0.9,2,23.6,21.6,0.53,9,2.2,2.1,0.1,21,9,0.2,12,18.5,72.1
1.2,1,16.6,15.6,0.43,14.6,2.2,2.1,0.1,23,7,0.3,359,18.3,73.2
1.4,1.5,15,13.6,0.44,14,2.2,2.2,0.1,13,6,0.2,350,18.3,74.1
1.4,1.4,13.4,12,0.4,14.5,2.2,2.2,0.1,16,8,0.3,314,18.2,75.3
1.4,1.4,12.6,11.2,0.38,17.8,2.2,2.1,0.1,18,8,0.2,344,18,74.9
1.2,2.3,15.4,13,0.44,15.1,2.2,2.1,0.1,18,10,0.3,105,18.2,75.1
1.3,27.5,48,20.5,0.88,1.4,2.5,2.2,0.2,28,10,0.7,186,17.6,82.3
2.1,47.9,75.5,27.6,1.49,2,2.7,2.3,0.4,50,26,0.4,182,17.8,79.9
1.9,36.1,64.9,28.8,1,2.8,2.6,2.2,0.4,40,18,0.4,43,18.3,78.4
1.7,19.1,45.4,26.2,0.7,6.2,2.6,2.2,0.4,29,15,0.4,28,19,75.4
2,20.8,49.2,28.4,0.68,7.9,2.6,2.2,0.4,31,13,0.4,30,20,71.3
1.9,15.3,42.6,27.3,0.56,14,2.6,2.2,0.5,33,15,0.4,332,20.7,68.8
1.7,13.6,42.7,29.2,0.76,18.3,2.5,2.1,0.4,43,19,0.4,303,21.4,65.8
1.6,11.6,40.5,28.9,0.73,22.8,3,2.1,0.8,44,19,0.4,295,22,63.3
1.5,12,42,30,0.77,20.8,2.9,2.1,0.8,40,19,0.4,303,22.2,63.2
1.4,7,33.3,26.4,0.59,18.9,2.5,2.1,0.4,39,17,0.7,21,21.9,65.4
1.4,5.1,34,28.9,0.62,12.9,2.5,2.1,0.4,37,11,0.3,27,21.4,67.9
1.5,6.7,40.3,33.6,0.8,7.2,2.6,2.1,0.5,37,18,0.5,29,20.7,70.3
1.5,6.3,41.5,35.2,0.86,3.5,2.7,2.2,0.5,37,15,0.4,25,20.2,72.1
1.6,5.4,37.6,32.1,0.75,3.3,2.6,2.2,0.4,28,14,0.4,28,19.6,75.7
1.7,6,36.5,30.5,0.7,1.7,2.6,2.2,0.4,37,19,0.2,17,19.3,78.2
1.6,9.2,38,28.8,0.73,1.5,2.6,2.2,0.4,40,16,0.4,5,19.2,78.5
1.6,6,32.8,26.9,0.66,2,2.5,2.2,0.3,34,14,0.3,10,18.9,81.3
1.7,7.6,34.6,27,0.63,1.2,2.6,2.2,0.4,36,14,0.3,297,18.7,83.1
1.4,3.8,27.4,23.7,0.58,2,2.5,2.2,0.3,28,17,0.3,17,18.4,86.3
1.1,2.5,24.2,21.7,0.55,1.8,2.5,2.2,0.2,26,11,0.3,34,18.3,87.7
1,4.1,25.5,21.4,0.56,1.2,2.6,2.3,0.3,33,19,0.3,315,18.4,88.3
1,1.6,16,14.5,0.4,7.5,2.3,2.2,0.1,23,11,0.4,22,18.3,87.8
0.7,1.3,12.4,11.1,0.42,9.2,2.1,2.1,0.1,19,8,0.4,33,18.4,86.9
0.9,1.5,14.6,13.1,0.45,6.6,2.2,2.1,0.1,19,5,0.2,17,18.5,86.5
0.9,8.8,25.6,16.8,0.52,6.3,2.2,2.1,0.1,16,7,0.3,25,18.3,88.1
1.1,23.9,46.2,22.4,1.08,2.6,2.4,2.1,0.3,18,8,0.1,329,18.6,88.5
1.3,20.6,43.7,23.2,0.94,5.4,2.4,2.1,0.3,27,10,0.4,14,19.4,83.2
1.3,15.6,38.7,23.1,0.7,6.5,2.4,2.1,0.3,26,13,0.3,30,19.7,83.5
1.1,20.3,45.1,24.8,0.7,8.2,2.5,2.1,0.4,39,19,0.5,298,20.1,81.6
1,14.2,42.7,28.5,0.71,11.4,2.5,2.2,0.4,42,19,0.3,53,21.2,76.8
1,13.1,42.6,29.5,0.83,15.2,2.6,2.1,0.4,45,23,0.4,23,22,76.6
0.9,12.3,35.5,23.1,0.67,12.2,2.4,2,0.4,35,24,0.6,19,21.6,79.7
0.9,9.7,31.9,22.2,0.58,15.2,2.3,2,0.3,36,11,0.6,37,22.1,76.7
1.2,12.9,36.5,23.7,0.77,11.8,2.5,2,0.4,39,15,0.6,357,23,73.4
1.2,13.3,41.5,28.2,0.78,8.8,2.6,2.1,0.6,43,19,0.6,357,22.7,73.8
1.1,5.4,35.5,30.1,0.78,6.3,2.5,2.1,0.5,36,15,0.4,22,21.2,78.7
1.5,24.5,59.8,35.3,1.33,0.9,4,2.2,1.8,51,16,0.4,309,20.9,80.5
1.2,16.1,48.9,32.8,1.09,0.6,2.9,2.1,0.8,38,11,0.3,335,20.4,81.6
1.1,9.8,42.2,32.3,0.85,0.9,2.6,2.1,0.5,39,18,0.2,27,20,82
1.3,15.3,46.3,31,0.85,0.5,2.6,2.2,0.4,39,13,0.2,40,19.6,83.1
1.4,31.9,60.6,28.7,1.16,0.7,2.7,2.2,0.5,42,18,0.3,178,19.4,85.2
1.4,36.1,58.9,22.8,1.11,0.8,2.8,2.2,0.6,45,21,0.5,191,19,88.6
1.6,21.6,42,20.5,0.82,0.7,2.9,2.2,0.7,49,33,0.2,231,18.7,90
1.7,14.7,35.9,21.2,0.63,0.5,2.8,2.2,0.6,40,20,0.1,25,18.3,90.9
1.6,13.7,33.7,20,0.63,0.5,2.7,2.2,0.5,46,23,0.1,341,18.4,91.9
1.2,9.3,28.8,19.4,0.66,0.7,2.5,2.2,0.4,73,46,0.3,147,18.6,92.5
1,6.7,24.7,18,0.97,1,2.4,2.1,0.3,74,45,0.2,220,18.5,93.4
0.7,3.6,21.6,18,0.56,1.3,2.6,2.2,0.4,58,33,0.2,9,18.5,93.9
0.9,31.4,48.9,17.5,0.92,1.4,2.7,2.3,0.5,59,36,0.4,138,18.5,93.5
1,35,50.8,15.8,1.11,1,2.8,2.3,0.6,64,33,0.5,55,18.5,92.8
1,27.6,49.6,22,1.07,3.1,2.9,2.4,0.6,62,37,0.4,46,19.4,89.1
1.2,34.4,66.5,32.1,1.18,6.7,2.9,2.3,0.6,70,39,0.4,143,21.9,76.1
2,18.5,51.4,32.9,0.94,22.1,2.9,2.2,0.7,67,41,0.6,185,24.6,64.7
2.2,10.6,33.9,23.3,0.59,32.1,2.6,2,0.5,60,28,0.8,203,25.6,61.6
-,5.9,24.4,18.5,0.68,47.7,2.6,2.1,0.6,57,26,0.8,257,26.6,58.8
4,-,-,-,0.78,52.4,2.8,2.2,0.7,88,47,0.8,286,26.6,60
5.4,-,-,-,-,-,3.2,2.3,0.9,114,66,0.7,290,26.4,62
1.9,7.8,43.1,35.3,0.93,48.3,-,-,-,98,47,0.6,314,24.6,69.5
1,8.5,42.1,33.7,0.92,21.1,2.6,2.2,0.4,77,39,0.7,333,22,77.7
1,4.9,33.3,28.4,0.86,14.2,2.4,2,0.4,76,40,0.6,27,20.6,82.6
0.7,7,37.8,30.8,0.92,7.5,2.3,2,0.3,62,27,0.4,18,20.4,82.9
0.9,22.4,59.1,36.7,1.41,2.2,2.6,2,0.6,69,33,0.3,212,20.8,80.8
2.1,23.3,60.2,36.9,1.22,1.3,2.7,2.1,0.6,64,35,0.4,199,20.9,80.6
2.2,23,58.4,35.5,1.17,0.8,2.7,2.1,0.6,73,40,0.4,206,20.9,81
2.1,15.6,49.4,33.7,1.03,0.5,2.8,2.1,0.6,70,34,0.3,302,20.6,82.8
2,16.8,48.7,31.8,0.95,0.7,2.8,2.2,0.6,67,32,0.2,295,20.4,83.9
1.5,23,53.5,30.5,0.97,0.7,2.9,2.3,0.6,63,29,0.3,354,20.5,83.3
1.1,10.4,34.8,24.4,0.68,0.6,2.5,2.1,0.4,62,39,0.3,27,20,84.7
1.4,18.7,42,23.3,0.91,0.8,2.8,2.2,0.6,69,38,0.5,195,19.8,86.8
1.2,13.9,37.8,23.9,0.74,0.5,2.7,2.2,0.5,58,35,0.3,269,20,85.9
1.3,14.8,37.6,22.8,0.79,0.5,2.7,2.2,0.5,68,45,0.3,199,19.7,86.9
1.5,14.6,37.2,22.6,0.78,0.4,2.8,2.3,0.5,68,40,0.2,182,19.3,89
1.4,21.1,42.7,21.6,0.83,1.7,2.8,2.3,0.6,71,38,0.2,302,19,90.7
2.7,59.1,80.4,21.3,1.67,1.7,2.9,2.3,0.6,99,67,0.4,182,19.3,90
2.9,52.8,78.6,25.8,1.18,2.3,3.2,2.3,0.8,91,54,0.4,213,20.6,83.9
2.6,28.7,67.5,38.7,1.24,9,3.3,2.5,0.9,98,69,0.4,307,22.8,73.9
1.7,10.7,43.9,33.2,1.03,24.7,2.7,2.3,0.4,87,57,0.5,8,24.9,64.5
1.6,7.3,34.4,27.1,0.89,37.2,2.5,2.2,0.3,75,42,0.5,3,26.5,57.9
1.6,5.5,30.5,24.9,0.91,42.3,2.6,2.1,0.5,60,32,0.6,305,27.4,52.6
1.4,4.2,23.9,19.8,0.68,40.5,2.3,2.1,0.2,56,32,0.7,16,27.1,53.3
1.4,3.9,22,18.1,0.64,34.4,2.3,2,0.2,42,14,0.5,22,27.7,49.7
1.2,2.7,19.1,16.4,0.6,32.6,2.2,2,0.2,36,14,0.3,10,27.6,50.5
1.8,9.2,42.6,33.4,0.9,15.3,2.7,2.1,0.6,68,27,0.3,289,26.7,59.8
4.6,17.6,58.9,41.2,1.08,2.9,3.1,2.1,1,100,48,0.5,305,24.2,72
3.2,30.1,68.2,38.1,1.44,1.3,3.5,2.2,1.3,95,55,0.5,199,23.4,75.5
2.4,19.9,55.2,35.4,1.29,1.2,3,2.2,0.8,88,46,0.4,5,23.2,75.4
1.8,9,41.6,32.6,0.93,0.8,2.6,2.2,0.4,65,38,0.3,18,22.6,77.1
2.2,21.6,50.8,29.2,1.2,0.8,2.8,2.3,0.5,59,29,0.3,316,22.4,78.4
2.6,27.7,53.7,26,1.12,0.9,2.9,2.3,0.6,70,35,0.3,217,21.9,82.7
1.5,20.6,45.1,24.5,0.97,1.1,2.8,2.3,0.5,58,30,0.3,230,21,90.1
1.4,17.8,39.8,22,0.93,0.9,2.8,2.3,0.5,53,24,0.3,200,20.8,91.4
1.3,14.7,36.9,22.2,0.87,0.4,2.7,2.3,0.3,47,26,0.5,15,20.6,89.6
1,6,27.3,21.3,0.73,0.9,2.4,2.2,0.2,20,11,0.5,348,20,88.3
1,2.2,17.4,15.2,0.63,2.8,2.3,2.2,0.2,15,2,0.6,11,19.2,89.8
0.8,2,18.5,16.5,0.67,2.4,2.4,2.2,0.2,10,6,0.7,28,18.9,90.1
0.7,2.5,17.9,15.3,0.66,2.7,2.3,2.1,0.2,11,5,0.4,15,19,87.8
0.8,3,18.9,16,0.67,2.1,2.3,2.2,0.2,11,4,0.4,21,18.7,86.2
1.2,10,25.8,15.8,0.79,1.9,2.4,2.1,0.2,14,10,0.3,11,18.4,86.4
1.3,13.1,28.4,15.4,0.84,3.2,2.4,2.1,0.2,23,13,0.3,24,19,82.4
1,11.5,24.1,12.6,0.78,7.1,2.3,2.2,0.2,22,4,0.8,27,20.5,74.4
1,8.7,19,10.4,0.74,14,2.3,2.1,0.2,19,8,0.7,16,22.4,67.1
1.1,7.6,20.7,13.1,0.77,20.3,2.3,2.1,0.2,21,5,0.8,355,23.6,63.2
1.4,8,22.1,14.1,0.81,23.4,2.2,2.1,0.2,22,8,0.9,342,23.6,63.2
1.3,5.4,18.1,12.8,0.82,29.8,2.2,2.1,0.2,24,10,1,19,23.9,62.3
1.1,4.8,17.3,12.5,0.8,31.1,2.2,2.1,0.1,26,9,0.8,359,24.5,60.7
1.3,5.6,22.1,16.5,0.92,28.5,2.3,2.1,0.2,25,6,1,324,23.9,62.3
1.3,3,19,16,0.79,26,2.2,2.1,0.2,26,6,0.8,23,22.6,66.5
1.3,5.4,29.8,24.5,0.98,17,2.4,2.1,0.3,30,11,0.5,349,22.1,68.3
1.4,4.2,26.8,22.6,0.92,13.6,2.3,2.1,0.2,28,8,0.6,11,21.1,71.6
1.4,6.8,34.7,27.9,1.03,8.1,2.4,2.1,0.3,33,14,0.3,313,20.7,73.4
1.3,3.8,28.8,24.9,0.89,8.6,2.3,2.1,0.2,31,14,0.3,353,20.2,75.5
1.4,5,31.5,26.6,0.9,5,2.5,2.2,0.3,26,12,0.3,352,19.9,76.7
1.3,4,27.8,23.8,0.81,6,2.4,2.2,0.2,30,14,0.3,9,19.3,78.5
1.3,3,26.2,23.2,0.78,5.2,2.5,2.2,0.3,34,14,0.3,10,19.2,78.9
1.5,2.1,23.9,21.8,0.83,5.7,2.4,2.2,0.2,30,17,0.4,336,19.1,79.5
1.5,3.2,24.4,21.2,0.8,4.8,2.6,2.3,0.3,38,19,0.4,180,19,80.1
1.3,3.7,23.7,20,0.79,3.5,2.5,2.3,0.2,41,19,0.4,190,18.7,82.5
1.6,2.7,20.4,17.7,0.7,5.3,2.5,2.3,0.2,40,21,0.3,223,18.5,82.6
1.3,3.1,21.3,18.1,0.77,2.7,2.7,2.5,0.2,38,18,0.2,211,18.5,83.5
1.9,12.5,33.5,21,0.8,1,2.7,2.5,0.3,38,19,0.3,200,18.3,84.6
1.8,38.6,59.6,21,1.31,0.9,2.9,2.6,0.3,43,28,0.4,201,18.4,84.5
2,73.6,97.4,23.8,2.02,1.2,2.9,2.4,0.5,55,23,0.5,184,18.8,82.9
4.9,45.2,68.2,23,1.2,3,2.9,2.3,0.5,58,28,0.5,196,20,77
3.3,20.5,46.4,25.9,0.87,8.6,2.6,2.2,0.4,54,21,0.4,34,21.3,71.8
2.6,26.1,61.8,35.7,1.13,14,2.8,2.2,0.6,50,26,0.6,226,22.9,66
3,14.4,49,34.6,0.94,27.4,2.9,2.2,0.7,61,30,0.9,288,24.9,59.7
2.3,8.2,36.8,28.7,0.77,32.8,2.6,2,0.5,50,22,0.8,295,25.7,57.7
2.1,7,35.1,28,0.74,39.9,2.6,2,0.5,57,22,0.9,303,26.3,57.3
1.9,6.2,29.6,23.4,0.66,42.1,2.8,2,0.8,55,19,1,329,25.9,59.7
1.6,6.2,33.5,27.2,0.76,40.2,2.4,2,0.5,56,21,1,305,25.2,62.4
1.6,5.3,35.2,30,0.83,31.2,2.5,2,0.5,63,23,0.6,358,24.3,66.8
1.4,2.6,30.6,28,0.85,24.3,2.4,2,0.4,63,19,0.6,27,22.4,75.5
1.1,2.7,30.5,27.8,0.95,18.4,2.3,2,0.3,60,19,0.6,26,21.3,80.5
1,2.2,23.9,21.7,0.72,22.2,2.3,2,0.3,61,24,0.8,27,20.8,83.1
1,2.1,21.1,19.1,0.73,19.1,2.2,2,0.2,50,21,0.5,21,20.7,83.5
1,2.2,19.1,16.9,0.64,20.5,2.1,2,0.1,48,20,0.7,26,20.8,82.9
0.9,1.2,16.2,14.9,0.62,18.3,2.1,2,0.1,46,24,0.4,27,20.8,83
0.9,1.6,16.4,14.8,0.67,14.6,2.2,2,0.2,49,24,0.3,304,20.9,82.8
1,1.6,18.5,16.9,0.69,12.7,2.3,2.1,0.2,44,18,0.4,14,20.8,83.2
0.8,1.4,16.1,14.7,0.7,11,2.3,2.1,0.2,57,25,0.2,39,20.8,83.4
0.6,1.2,11.7,10.5,0.57,17.5,2.1,2.1,0.1,44,19,0.4,323,20.7,84.8
0.6,1.2,10.3,9.1,0.54,17.3,2.1,2,0.1,33,14,0.3,352,20.6,85.1
0.5,1.5,9.6,8.1,0.51,19.1,2.1,2,-,32,18,0.4,12,20.4,86.2
0.5,1.5,11.9,10.3,0.53,19.1,2.1,2,0.1,32,14,0.3,21,20.4,86.4
0.6,2.6,16.7,14.2,0.61,13.4,2.1,2,0.1,27,13,0.4,23,20.4,84.8
0.8,10,31.3,21.3,0.9,10.1,2.1,2,0.1,32,13,0.5,19,20.6,83.1
1,10.1,31,20.9,0.86,9.6,2.2,2,0.2,30,17,0.6,23,21.3,79.4
0.9,12.6,34.6,22,0.93,13,2.5,2,0.5,38,18,0.6,319,22.3,74.8
1.1,13.9,36.6,22.7,0.88,17.6,2.6,2,0.6,44,20,1,304,23.6,69
1,10.2,28.3,18.2,0.69,20.9,2.3,2,0.3,34,16,0.9,343,24.2,66.6
0.8,7,23,16,0.66,23.2,2.1,1.9,0.2,35,15,1.1,25,23.5,68.7
0.8,8.9,29.4,20.5,0.72,23.4,2.2,1.9,0.2,33,16,0.7,352,24.6,64.6
1,9.9,32.8,22.9,0.81,25.7,2.3,2,0.3,39,16,0.8,329,25.7,60.3
0.9,5.2,23.1,17.9,0.67,28.8,2.2,2,0.2,39,14,1,18,24.8,63.3
1.1,8.8,34.9,26.1,0.77,18.8,2.3,2,0.3,41,10,0.7,357,23.8,65.9
1.2,9.1,40.7,31.6,1.09,9.9,2.4,2,0.4,38,14,0.5,12,22.4,70.1
1.3,8.6,41,32.4,1.05,5.9,2.4,2,0.4,33,14,0.4,14,21.8,71.7
1.1,5.1,34.4,29.2,0.92,6.6,2.3,2,0.3,32,11,0.4,5,21,74.6
1.2,9,35.6,26.6,0.86,6.1,2.4,2.1,0.3,31,14,0.4,4,20.4,76.8
1.3,10.3,37,26.7,0.85,4.6,2.4,2,0.3,28,14,0.3,316,20.4,76.8
1.1,10.7,38.4,27.7,1,4.1,2.3,2.1,0.3,29,14,0.4,295,20.3,77
1.1,2.9,27,24.1,0.71,5.5,2.4,2.1,0.3,33,15,0.3,250,20.2,77.8
1.1,4.5,28.8,24.3,0.78,4.1,2.3,2.1,0.2,31,9,0.3,152,19.9,79.9
1.1,2.7,24.2,21.5,0.67,6.1,2.3,2.1,0.2,31,11,0.3,129,19.8,79.8
1.2,4,23.2,19.2,0.67,4.8,2.3,2.1,0.2,25,18,0.6,183,19.4,82
1.3,6.9,26.9,19.9,0.7,1.7,2.4,2.2,0.2,34,18,0.6,162,18.9,85.3
1.2,7.4,26.6,19.1,0.65,1.9,2.2,2.1,0.1,29,13,0.7,180,19,85
1.3,9.3,28.4,19,0.71,2.5,2.4,2.2,0.2,35,17,0.6,187,19.2,84.3
1.4,23.4,46.3,22.9,0.92,2.8,2.4,2.2,0.2,30,14,0.7,174,19.3,82.1
2.1,47.2,74.9,27.7,1.57,2,2.5,2.1,0.4,37,16,0.4,178,19.8,78.4
2,30.3,58.8,28.5,1.15,2.6,2.4,2.1,0.3,39,19,0.3,34,20.4,74
1.6,18.3,45.1,26.8,0.86,5.9,2.3,2.1,0.3,34,13,0.3,341,21.1,70
2,20.1,46.1,26.1,0.78,10.4,2.6,2,0.6,39,16,0.8,299,22,66.5
1.9,13.1,37.5,24.4,0.67,-,-,-,-,46,18,0.8,305,23.9,61
-,5.2,23.8,18.6,0.71,-,2.4,2,0.3,45,19,0.8,335,25.2,58
-,-,-,-,0.7,32.7,2.3,2,0.3,51,19,1,351,25.2,58
1.8,6.1,27,21,0.77,41.4,-,-,-,45,20,0.8,311,26.1,56
1.9,4.7,29.3,24.6,0.94,45.3,3,2.2,0.8,58,28,0.7,311,26.5,55.2
1.8,7.4,38.2,30.8,1.01,29,2.7,2.1,0.5,65,29,0.6,339,24.7,61.3
1.7,9.1,46,36.9,1.23,16.2,2.7,2.1,0.6,66,20,0.4,357,23.1,66.8
1.6,3.5,32,28.5,1.03,15.9,2.5,2.1,0.4,58,19,0.5,21,21.5,72.7
1.6,6.3,38.9,32.6,1.11,9.3,2.6,2.1,0.5,57,24,0.3,343,21.1,74.7
1.7,3.4,33,29.6,0.83,8.7,2.5,2.1,0.4,50,24,0.5,23,20.5,76.6
1.7,7.2,40.9,33.7,0.95,4.7,2.5,2.2,0.4,58,22,0.3,53,20.4,77.6
2.1,25.8,61.6,35.8,1.5,0.9,3,2.3,0.7,70,31,0.5,177,20,79.8
3.6,13.4,48.5,35.1,1.01,1.1,2.9,2.3,0.6,59,26,0.2,222,20,79.9
2.4,12.3,43.8,31.5,0.91,0.9,3,2.4,0.6,57,26,0.3,63,19.9,80.6
2,4.3,30.5,26.1,0.68,2.5,2.6,2.3,0.3,52,19,0.4,16,20.1,78.1
1.9,2,24.8,22.9,0.67,5.1,2.6,2.2,0.3,40,22,0.3,300,20.2,76.9
1.8,3.3,25.2,21.9,0.65,5.9,2.5,2.2,0.3,35,24,0.5,191,20.1,77.9
1.5,10.1,34.7,24.7,0.84,1.3,2.7,2.4,0.3,50,24,0.7,189,19.8,81.1
1.6,10.2,36.8,26.6,0.85,0.9,2.7,2.4,0.3,50,28,0.3,167,19.8,80.9
1.8,30.2,56.1,25.9,1.34,1.3,3,2.4,0.6,52,25,0.3,197,19.9,80.4
3.3,63.5,90.9,27.3,2.07,1.1,3.1,2.4,0.7,66,35,0.3,210,20.2,79.6
3.7,52.9,83.5,30.6,1.44,3.4,3,2.3,0.7,80,40,0.6,179,21,76.8
3.5,20.3,48.9,28.6,0.82,9.7,2.5,2.1,0.4,58,30,0.6,17,22.5,70.5
3.5,12.7,41.7,28.9,0.71,19.8,2.5,2.1,0.3,58,24,0.6,353,24.3,64
3,14,48.5,34.5,0.86,25,2.7,2.1,0.6,68,37,1,293,25.2,62.2
2.3,7.4,31.7,24.3,0.75,33.8,-,-,-,74,29,0.8,312,26.7,58.9
1.7,6.5,26.8,20.3,0.79,34.7,-,-,-,72,28,0.7,310,26.8,58.6
2,7.8,30.9,23.1,0.75,31.7,-,-,-,76,28,0.8,288,27.3,56.1
2.1,15.4,44.9,29.6,0.82,18.3,-,-,-,100,33,0.7,281,26.6,60.5
1.3,11.1,40.5,29.4,0.89,15.1,-,-,-,101,40,1,297,23.9,70.6
2.8,13.1,49,35.9,1.47,6.2,-,-,-,91,47,0.4,296,22,78.2
2.1,22.2,59.9,37.7,1.34,2,-,-,-,-,-,0.4,267,21.4,80.5
1.7,32.5,66.9,34.3,1.56,1.8,2.9,2.1,0.8,-,-,1,184,20.6,84.6
1.5,36.7,69.8,33.2,1.17,1.1,2.8,2.1,0.6,91,42,0.8,177,20.4,85.6
1.2,16,47,31,0.87,1.5,2.7,2.2,0.5,81,40,0.4,73,20.7,84.8
0.8,4.9,32.5,27.6,0.69,2.3,2.5,2.1,0.4,93,45,0.4,68,20.9,84.8
0.8,5.5,32,26.5,0.69,1.2,2.6,2.2,0.4,90,46,0.2,289,21,84.7
1,9.2,38.2,29,0.99,0.7,2.7,2.2,0.5,97,45,0.6,171,20.7,85.7
1.1,5.9,30.5,24.6,0.81,1.6,2.6,2.2,0.4,79,39,0.5,126,20.7,85.2
0.7,1.7,19.6,18,0.63,3.4,2.4,2.2,0.3,59,35,0.3,31,20.7,84
0.6,1.7,22,20.4,0.66,1.5,2.5,2.2,0.3,60,39,0.2,31,20.6,84.7
0.7,3.3,24.3,20.9,0.73,1.6,2.6,2.3,0.3,68,40,0.4,208,20.6,84.8
0.8,3.8,24.3,20.5,0.74,3,2.6,2.3,0.4,61,37,0.3,52,20.5,84.9
0.7,11,31.2,20.1,0.85,1.1,2.6,2.2,0.4,72,40,0.5,54,20.2,85.6
0.8,32.3,48.7,16.4,1.1,1.1,2.5,2.2,0.4,52,26,0.7,59,19.9,86
1,26.3,51.3,25,1.29,3.9,2.8,2.3,0.5,70,40,0.4,22,21.4,79.8
1.6,23.8,61.9,38,1.38,11.8,3.1,2.2,0.9,85,47,0.5,216,23.4,70.5
2.2,23.5,62,38.5,1.09,16.3,2.9,2.2,0.8,90,39,0.7,254,24.9,65.7
2.1,15.2,48.4,33.2,0.89,24,2.6,2.1,0.5,69,32,0.6,259,26.5,58.7
1.7,8.7,36.1,27.3,0.78,35.5,2.3,2,0.3,69,31,0.7,262,27.8,54.7
1.9,7.5,33.1,25.6,0.65,32.6,2.5,2,0.5,64,31,0.7,301,27.8,56.6
3.4,9.6,37.1,27.5,0.65,27,3.5,2,1.5,61,28,0.7,286,27.1,55.7
12.2,33.1,77.4,44.3,0.92,9.4,3,2.1,0.9,72,31,0.6,251,27.1,56.5
8.2,42.7,82.2,39.5,1.06,2.7,3.3,2.1,1.1,83,38,0.5,220,24.7,66.5
4.3,55.9,91.6,35.7,1.87,1,3.1,2.2,0.9,86,47,0.9,198,22.6,75.5
2.9,63.9,97.5,33.6,1.74,0.2,2.9,2.2,0.7,90,43,0.9,195,21.4,80.9
3.9,42,72.4,30.4,1.43,0.7,2.8,2.2,0.6,103,46,0.6,204,20.6,84
1.9,31.8,60.8,29,0.86,0.7,3.2,2.2,1,90,41,0.2,309,20.3,85.1
3.3,68.2,99.1,30.9,1.57,1.2,3.1,2.2,0.9,107,59,0.4,184,21.2,81.8
4.1,66.2,96,29.8,1.58,0.8,3.2,2.3,0.9,89,45,0.3,190,21.7,79.3
2.1,40,66.7,26.7,1.25,0.9,2.9,2.3,0.6,63,35,0.2,163,21.7,78
2.6,52.9,78.3,25.4,1.18,1.5,3.1,2.4,0.8,73,41,0.4,193,21.4,80.3
1.9,29.8,55.2,25.4,0.89,0.9,3.1,2.3,0.8,65,35,0.2,308,21.5,78.9
1.2,20,45.1,25.1,0.77,0.8,3.1,2.4,0.7,57,27,0.2,198,21.6,78.2
1.3,33.4,54.7,21.3,0.87,0.8,3,2.4,0.6,58,33,0.2,201,21.2,80.7
1,32.9,52.9,20,0.93,1.3,2.9,2.4,0.6,53,27,0.3,187,20.8,81.6
1,38.2,56.2,18,1.04,0.7,3.5,2.5,1,51,25,0.1,327,20.4,83.7
